Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10977965,Kunduchi,Adequate,Wami,Yes,84.3,201.5,14.2,18.0,1.735548950937706,Africa
10978207,Kunduchi,Adequate,Wami,Yes,67.8,,13.4,,0.9872369874364745,Africa
10978378,Kunduchi,Adequate,Wami,Yes,103.94,225.9,14.4,18.5,2.6262669487052324,Africa
10978460,Kunduchi,Adequate,Wami,Yes,84.85,239.2,14.5,19.9,1.7604926830544134,Africa
10977732,Kunduchi,Adequate,Wami,Yes,78.29,195.6,14.0,19.0,1.4629819872624092,Africa
10978532,Kunduchi,Adequate,Wami,Yes,89.93,220.0,14.7,19.0,1.990882063332369,Africa
10978612,Kunduchi,Adequate,Wami,Yes,117.83,270.9,15.0,20.0,3.256209565252633,Africa
10977963,Kunduchi,Adequate,Wami,Yes,92.48,209.4,14.9,18.3,2.1065302758734683,Africa
10977682,Kunduchi,Adequate,Wami,Yes,95.54,178.8,14.9,17.7,2.245308130922788,Africa
10978295,Kunduchi,Adequate,Wami,Yes,70.27,135.2,13.3,16.0,1.099257020760598,Africa
10977643,Kunduchi,Adequate,Wami,Yes,79.96,184.0,14.2,18.2,1.5387202284167758,Africa
10978401,Kunduchi,Adequate,Wami,Yes,101.76,173.9,14.5,17.2,2.527399065042646,Africa
10978321,Kunduchi,Adequate,Wami,Yes,52.01,168.8,12.5,17.0,0.2711251144859021,Africa
10978593,Kunduchi,Adequate,Wami,Yes,91.93,182.7,14.3,18.0,2.0815865437567607,Africa
10977891,Kunduchi,Adequate,Wami,Yes,83.48,183.0,13.8,17.5,1.6983601139637057,Africa
10978510,Kunduchi,Adequate,Wami,Yes,87.03,219.9,14.3,18.5,1.8593605667170008,Africa
10978282,Kunduchi,Adequate,Wami,Yes,87.54,213.1,13.4,17.0,1.882490209225221,Africa
10978130,Kunduchi,Adequate,Wami,Yes,69.83,204.7,13.3,19.0,1.079302035067232,Africa
10977956,Kunduchi,Adequate,Wami,Yes,76.47,218.2,13.7,18.5,1.3804409100762125,Africa
10978586,Kunduchi,Adequate,Wami,Yes,84.97,179.3,14.0,17.1,1.7659349518798773,Africa
